target_system	training_system	score	score_std
FEM_short	LIFE_old	0.6759	0.074
FEM_short	LIFE_new	0.7055	0.0787
FEM_short	FEM_long	0.8462	0.0473
FEM_short	FEM_short	0.8045	0.0483
FEM_short	FEM_orbitrap_plasma	0.6276	0.0824
FEM_short	FEM_orbitrap_urine	0.7338	0.0594
FEM_short	IPB_Halle	0.5089	0.0872
FEM_short	RIKEN	0.7806	0.0659
FEM_short	Eawag_XBridgeC18	0.6911	0
FEM_short	MPI_Symmetry	0.726	0.0852
FEM_short	MTBLS4	0.7107	0.0021
FEM_short	MTBLS17	0.3518	0.0062
FEM_short	MTBLS19	0.478	0.0065
FEM_short	MTBLS20	0.6954	0.0821
FEM_short	MTBLS36	0.6332	0.0758
FEM_short	MTBLS38	0.7231	0.0899
FEM_short	MTBLS39	0.7054	0.0591
FEM_short	UFZ_Phenomenex	0.7242	2e-04
FEM_short	UniToyama_Atlantis	0.4495	0.0923
FEM_short	MTBLS52	0.5351	0.0452
FEM_short	FEM_lipids	0.6646	0
IPB_Halle	LIFE_old	0.8071	0.0641
IPB_Halle	LIFE_new	0.7769	0.0777
IPB_Halle	FEM_long	0.766	0.0758
IPB_Halle	FEM_short	0.5381	0.0759
IPB_Halle	FEM_orbitrap_plasma	0.7191	0.0829
IPB_Halle	FEM_orbitrap_urine	0.7332	0.0869
IPB_Halle	IPB_Halle	0.8002	0.0786
IPB_Halle	RIKEN	0.7116	0.0868
IPB_Halle	Eawag_XBridgeC18	0.723	0.0879
IPB_Halle	MPI_Symmetry	0.6268	0.1084
IPB_Halle	MTBLS4	0.4609	0.0914
IPB_Halle	MTBLS17	0.5473	0.0792
IPB_Halle	MTBLS19	0.5866	0.0952
IPB_Halle	MTBLS20	0.7655	0.0763
IPB_Halle	MTBLS36	0.6769	0.0924
IPB_Halle	MTBLS38	0.7288	0.0708
IPB_Halle	MTBLS39	0.5724	0.001
IPB_Halle	UFZ_Phenomenex	0.722	0.0716
IPB_Halle	UniToyama_Atlantis	0.6821	0.0797
IPB_Halle	MTBLS52	0.6701	0.0066
IPB_Halle	FEM_lipids	0.4814	0.1065
MTBLS36	LIFE_old	0.7113	0.1032
MTBLS36	LIFE_new	0.6858	0.0911
MTBLS36	FEM_long	0.7086	0.0835
MTBLS36	FEM_short	0.6358	0.0839
MTBLS36	FEM_orbitrap_plasma	0.5819	0.1083
MTBLS36	FEM_orbitrap_urine	0.6385	0.0977
MTBLS36	IPB_Halle	0.6291	0.1071
MTBLS36	RIKEN	0.6599	0.0911
MTBLS36	Eawag_XBridgeC18	0.6915	0
MTBLS36	MPI_Symmetry	0.6611	0.092
MTBLS36	MTBLS4	0.5277	0.0024
MTBLS36	MTBLS17	0.4619	0.0085
MTBLS36	MTBLS19	0.5473	0.0019
MTBLS36	MTBLS20	0.6895	0.105
MTBLS36	MTBLS36	0.7147	0.0741
MTBLS36	MTBLS38	0.6696	0.0962
MTBLS36	MTBLS39	0.627	0.0962
MTBLS36	UFZ_Phenomenex	0.6835	0
MTBLS36	UniToyama_Atlantis	0.672	0
MTBLS36	MTBLS52	0.633	0.0041
MTBLS36	FEM_lipids	0.5216	0.0078
MTBLS20	LIFE_old	0.7823	0.11
MTBLS20	LIFE_new	0.7636	0.0987
MTBLS20	FEM_long	0.7367	0.1252
MTBLS20	FEM_short	0.6547	0.1411
MTBLS20	FEM_orbitrap_plasma	0.6658	0.158
MTBLS20	FEM_orbitrap_urine	0.7232	0.1412
MTBLS20	IPB_Halle	0.6835	0.1251
MTBLS20	RIKEN	0.7504	0.1134
MTBLS20	Eawag_XBridgeC18	0.6727	0.1723
MTBLS20	MPI_Symmetry	0.6133	0.127
MTBLS20	MTBLS4	0.4467	0.1613
MTBLS20	MTBLS17	0.5448	0.0071
MTBLS20	MTBLS19	0.6023	0.1607
MTBLS20	MTBLS20	0.7784	0.1296
MTBLS20	MTBLS36	0.7231	0.1059
MTBLS20	MTBLS38	0.7405	0.1102
MTBLS20	MTBLS39	0.5388	0.1322
MTBLS20	UFZ_Phenomenex	0.692	0.1481
MTBLS20	UniToyama_Atlantis	0.5854	0.1528
MTBLS20	MTBLS52	0.6184	0.0083
MTBLS20	FEM_lipids	0.5495	0.144
FEM_lipids	LIFE_old	0.5372	0.0809
FEM_lipids	LIFE_new	0.5452	0.0915
FEM_lipids	FEM_long	0.6665	0.0848
FEM_lipids	FEM_short	0.592	0.0071
FEM_lipids	FEM_orbitrap_plasma	0.6476	0.0814
FEM_lipids	FEM_orbitrap_urine	0.5567	0.0802
FEM_lipids	IPB_Halle	0.5111	0.0761
FEM_lipids	RIKEN	0.5553	0.0781
FEM_lipids	Eawag_XBridgeC18	0.6914	0
FEM_lipids	MPI_Symmetry	0.5276	0.0015
FEM_lipids	MTBLS4	0.5763	0.0838
FEM_lipids	MTBLS17	0.5597	0.0813
FEM_lipids	MTBLS19	0.6151	0.0832
FEM_lipids	MTBLS20	0.5883	0.0713
FEM_lipids	MTBLS36	0.5957	0.0089
FEM_lipids	MTBLS38	0.5018	0
FEM_lipids	MTBLS39	0.5106	0.0035
FEM_lipids	UFZ_Phenomenex	0.5976	0.0973
FEM_lipids	UniToyama_Atlantis	0.5533	0.0888
FEM_lipids	MTBLS52	0.5861	0.0248
FEM_lipids	FEM_lipids	0.7591	0.0738
MTBLS52	LIFE_old	0.6491	0
MTBLS52	LIFE_new	0.6842	0
MTBLS52	FEM_long	0.7193	0
MTBLS52	FEM_short	0.6842	0.0265
MTBLS52	FEM_orbitrap_plasma	0.6082	0
MTBLS52	FEM_orbitrap_urine	0.5146	0.016
MTBLS52	IPB_Halle	0.648	0.0177
MTBLS52	RIKEN	0.6784	0
MTBLS52	Eawag_XBridgeC18	0.4386	0
MTBLS52	MPI_Symmetry	0.6444	0.0224
MTBLS52	MTBLS4	0.5415	0.0183
MTBLS52	MTBLS17	0.4842	0.0384
MTBLS52	MTBLS19	0.655	0
MTBLS52	MTBLS20	0.6842	0
MTBLS52	MTBLS36	0.6117	0.0032
MTBLS52	MTBLS38	0.6503	0.0157
MTBLS52	MTBLS39	0.6842	0.016
MTBLS52	UFZ_Phenomenex	0.3509	0
MTBLS52	UniToyama_Atlantis	0.524	0.2111
MTBLS52	MTBLS52	0.68	0.1832
MTBLS52	FEM_lipids	0.6234	0.0209
FEM_long	LIFE_old	0.7996	0.0488
FEM_long	LIFE_new	0.8041	0.0406
FEM_long	FEM_long	0.8777	0.0395
FEM_long	FEM_short	0.5644	0.0677
FEM_long	FEM_orbitrap_plasma	0.7692	0.0481
FEM_long	FEM_orbitrap_urine	0.7931	0.0532
FEM_long	IPB_Halle	0.743	0.0568
FEM_long	RIKEN	0.8164	0.0422
FEM_long	Eawag_XBridgeC18	0.7586	0.0489
FEM_long	MPI_Symmetry	0.6924	0.0549
FEM_long	MTBLS4	0.5708	0.0816
FEM_long	MTBLS17	0.538	0.0846
FEM_long	MTBLS19	0.5914	0.0624
FEM_long	MTBLS20	0.7576	0.0572
FEM_long	MTBLS36	0.7198	0.0499
FEM_long	MTBLS38	0.7998	0.0449
FEM_long	MTBLS39	0.5726	0.0666
FEM_long	UFZ_Phenomenex	0.7772	0.0504
FEM_long	UniToyama_Atlantis	0.685	0.0523
FEM_long	MTBLS52	0.6154	0.0098
FEM_long	FEM_lipids	0.6378	0.0758
Eawag_XBridgeC18	LIFE_old	0.5759	0.0556
Eawag_XBridgeC18	LIFE_new	0.5774	0.0627
Eawag_XBridgeC18	FEM_long	0.5983	0.0542
Eawag_XBridgeC18	FEM_short	0.5805	0.003
Eawag_XBridgeC18	FEM_orbitrap_plasma	0.5965	0
Eawag_XBridgeC18	FEM_orbitrap_urine	0.5888	0.0016
Eawag_XBridgeC18	IPB_Halle	0.5985	0.0662
Eawag_XBridgeC18	RIKEN	0.569	0.0541
Eawag_XBridgeC18	Eawag_XBridgeC18	0.7942	0.0388
Eawag_XBridgeC18	MPI_Symmetry	0.5383	0.0574
Eawag_XBridgeC18	MTBLS4	0.5429	0.0037
Eawag_XBridgeC18	MTBLS17	0.5128	0.0033
Eawag_XBridgeC18	MTBLS19	0.476	0.0022
Eawag_XBridgeC18	MTBLS20	0.556	0.0622
Eawag_XBridgeC18	MTBLS36	0.5896	0.0014
Eawag_XBridgeC18	MTBLS38	0.5868	0.049
Eawag_XBridgeC18	MTBLS39	0.5018	6e-04
Eawag_XBridgeC18	UFZ_Phenomenex	0.7106	0.0469
Eawag_XBridgeC18	UniToyama_Atlantis	0.5827	0
Eawag_XBridgeC18	MTBLS52	0.5359	0.0244
Eawag_XBridgeC18	FEM_lipids	0.5948	0.0025
MPI_Symmetry	LIFE_old	0.5931	0.1268
MPI_Symmetry	LIFE_new	0.7129	0.1019
MPI_Symmetry	FEM_long	0.694	0.127
MPI_Symmetry	FEM_short	0.7333	0.0929
MPI_Symmetry	FEM_orbitrap_plasma	0.6668	0.1237
