target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS19	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	253.944	7	-1	20.952	10.1823	0	0	1.1451	0	0	0.2146	0.2146
FEM_long	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	251.7	28.1	-1	380.58	10.0473	0	0	1.7291	0.303	0	8.4373	8.4373
MTBLS17	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	254.704	6	-1	14.792	10.1766	0	0	0.8892	0	0	0.4967	0.4967
LIFE_new	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	245.4	10.6	-1	51	12.5349	0	0	0.4949	0.4949	0	4.9487	4.9487
IPB_Halle	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	242	14	-1	90.28	10.2034	0	0	0	0	0	0.9298	0.9298
Eawag_XBridgeC18	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	255.8	31.7	-1	482.4	10.1324	0	0	0.4041	0.4629	0	14.7551	14.7551
MTBLS36	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	253.64	12	-1	66	10.3359	0	0	1.1528	0	0	0	0
FEM_orbitrap_plasma	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	251.8	7.9	-1	27.3	10.3244	0	0	1.1606	0.303	0	2.1213	2.1213
MTBLS4	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	254.624	9	-1	35.072	10.445	0	0	0.904	0	0	1.1858	1.1858
MTBLS52	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	256	19	-1	171	14.7664	0	0	0	0	0	0	0
MTBLS20	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	254.2	7.9	-1	26.78	10.0638	0	0	1.178	0.303	0	2.2158	2.2158
FEM_short	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	255.008	17	-1	135.592	10.3238	0	0	0.8279	0	0	0.597	0.597
UniToyama_Atlantis	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	255.4	9.9	-1	44.1	15.1906	0	0	0.8081	0.303	0	2.7274	2.7274
UFZ_Phenomenex	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	255.4	19.2	-1	173.64	12.3121	0	0	0.6999	0.4041	0	7.6765	7.6765
FEM_lipids	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	240	16	-1	119.232	15.2033	0	0	0	0	0	0.8046	0.8046
LIFE_old	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	243.3	12.7	-1	74.34	10.387	0	0	0.4629	0.4629	0	5.6083	5.6083
MPI_Symmetry	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	254.328	10	-1	45	10.2927	0	0	1.0532	0	0	0	0
RIKEN	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	254.3	18.1	-1	153.58	10.0575	0	0	1.1824	0.303	0	5.621	5.621
MTBLS39	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	255.432	5	-1	10	12.4354	0	0	0.6002	0	0	0	0
MTBLS38	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	252.312	10	-1	45	13.0891	0	0	1.2853	0	0	0	0
FEM_orbitrap_urine	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0	0	250.184	13	-1	77.76	10.6022	0	0	1.4886	0	0	0.5143	0.5143
