target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MPI_Symmetry	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3945	0.2174	0.5112	0.2565
MTBLS39	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.5695	0.2982	0.673	0.3032
MTBLS20	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.395	0.275	0.4919	0.3169
FEM_short	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.4999	0.1167	0.6551	0.1262
IPB_Halle	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.368	0.178	0.4952	0.2254
MTBLS36	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.342	0.1903	0.4597	0.2387
RIKEN	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.5161	0.1284	0.6858	0.1478
UniToyama_Atlantis	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3974	0.2338	0.5175	0.2718
MTBLS17	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.4865	0.2637	0.6232	0.2526
MTBLS19	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.2947	0.3297	0.32	0.4047
FEM_long	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.522	0.0863	0.6933	0.0971
UFZ_Phenomenex	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3558	0.1647	0.4897	0.2226
LIFE_new	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.4814	0.1968	0.6263	0.2208
MTBLS4	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.5299	0.1618	0.6667	0.17
LIFE_old	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.4817	0.1668	0.6289	0.1913
Eawag_XBridgeC18	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.2676	0.1081	0.3798	0.1501
FEM_lipids	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3266	0.1809	0.4339	0.2262
FEM_orbitrap_plasma	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3931	0.2463	0.501	0.294
MTBLS52	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.3632	0	0.5429	0
MTBLS38	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.6064	0.1516	0.7558	0.1461
FEM_orbitrap_urine	IPB_Halle;LIFE_new;MTBLS36;MTBLS38	0.4374	0.1743	0.5556	0.208
