target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
FEM_lipids	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.5938	0.128	0.717	0.1349
MTBLS4	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3739	0.2372	0.4551	0.2822
MTBLS38	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.4212	0.1894	0.5629	0.2056
FEM_orbitrap_urine	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6383	0.1184	0.7907	0.1073
RIKEN	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.2758	0.163	0.354	0.2168
IPB_Halle	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.426	0.1635	0.5507	0.1937
MTBLS36	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3469	0.1763	0.4551	0.2289
Eawag_XBridgeC18	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.2314	0.1286	0.3125	0.1767
FEM_orbitrap_plasma	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.5499	0.2319	0.6818	0.237
MTBLS20	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3996	0.2623	0.5152	0.2954
FEM_short	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3909	0.1677	0.5287	0.2079
MTBLS52	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3108	0.0065	0.4475	0.0077
FEM_long	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.4716	0.1311	0.6281	0.157
UniToyama_Atlantis	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3131	0.1895	0.423	0.2486
MTBLS19	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6087	0.2089	0.7377	0.2132
UFZ_Phenomenex	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.2739	0.1451	0.3687	0.2022
MTBLS39	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.6146	0.259	0.724	0.2475
LIFE_new	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.5238	0.2072	0.6617	0.2226
LIFE_old	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.5016	0.1581	0.6321	0.1779
MTBLS17	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3285	0.363	0.381	0.4381
MPI_Symmetry	LIFE_new;LIFE_old;IPB_Halle;FEM_lipids	0.3437	0.1888	0.4833	0.2246
