target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
FEM_orbitrap_plasma	Eawag_XBridgeC18;UFZ_Phenomenex	0.442	0.1699	0.5802	0.1945
MTBLS39	Eawag_XBridgeC18;UFZ_Phenomenex	0.4013	0	0.564	0
MTBLS52	Eawag_XBridgeC18;UFZ_Phenomenex	-0.0774	0	-0.1364	0
MTBLS20	Eawag_XBridgeC18;UFZ_Phenomenex	0.2625	0.2831	0.3617	0.358
FEM_short	Eawag_XBridgeC18;UFZ_Phenomenex	0.3337	0	0.4851	0
UniToyama_Atlantis	Eawag_XBridgeC18;UFZ_Phenomenex	0.3513	0.1768	0.4825	0.2222
MTBLS19	Eawag_XBridgeC18;UFZ_Phenomenex	0.0346	0	0.0697	0
FEM_long	Eawag_XBridgeC18;UFZ_Phenomenex	0.5368	0.0805	0.7152	0.089
LIFE_new	Eawag_XBridgeC18;UFZ_Phenomenex	0.4259	0.1802	0.5681	0.2249
FEM_lipids	Eawag_XBridgeC18;UFZ_Phenomenex	0.3533	0.1578	0.4597	0.1951
MTBLS4	Eawag_XBridgeC18;UFZ_Phenomenex	0.4903	0	0.6812	0
LIFE_old	Eawag_XBridgeC18;UFZ_Phenomenex	0.3739	0.1732	0.5262	0.2434
MPI_Symmetry	Eawag_XBridgeC18;UFZ_Phenomenex	0.2948	0.2302	0.4157	0.2848
UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex	0.4165	0.1031	0.5716	0.1292
Eawag_XBridgeC18	Eawag_XBridgeC18;UFZ_Phenomenex	0.4473	0.0713	0.6168	0.0878
RIKEN	Eawag_XBridgeC18;UFZ_Phenomenex	0.28	0.1672	0.3951	0.2148
MTBLS38	Eawag_XBridgeC18;UFZ_Phenomenex	0.4087	0.1746	0.5558	0.2112
FEM_orbitrap_urine	Eawag_XBridgeC18;UFZ_Phenomenex	0.5645	0.1091	0.7384	0.1019
IPB_Halle	Eawag_XBridgeC18;UFZ_Phenomenex	0.4679	0.1564	0.6128	0.179
MTBLS17	Eawag_XBridgeC18;UFZ_Phenomenex	0.2006	0	0.2366	0
MTBLS36	Eawag_XBridgeC18;UFZ_Phenomenex	0.3311	0	0.4398	0
