target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS36	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	281.312	12	-1	66	19.7942	0	0	1.1029	0	0	0	0
LIFE_old	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	271.3	12.7	-1	74.3	12.8116	0	0	0.4629	0.4629	0	5.6288	5.6288
MTBLS52	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	284	19	-1	171	19.1678	0	0	0	0	0	0	0
MPI_Symmetry	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	282.48	10	-1	45	19.2774	0	0	0.8762	0	0	0	0
MTBLS20	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	276.1	7.9	-1	26.96	18.9644	0	0	0.303	0.303	0	2.1756	2.1756
FEM_short	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	282.936	17	-1	135.648	12.9507	0	0	0.9567	0	0	0.5426	0.5426
UFZ_Phenomenex	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	283.2	19.2	-1	173.9	19.3187	0	0	0.9258	0.4041	0	7.7308	7.7308
UniToyama_Atlantis	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	283.4	9.9	-1	44.1	19.8398	0	0	0.6701	0.303	0	2.7274	2.7274
MTBLS19	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	281.544	7	-1	20.928	19.3599	0	0	1.1466	0	0	0.2595	0.2595
RIKEN	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	281.7	18.1	-1	153.14	19.8227	0	0	1.2495	0.303	0	5.6749	5.6749
MTBLS17	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	282.512	6	-1	14.8	20.4032	0	0	0.8193	0	0	0.4579	0.4579
LIFE_new	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	273.4	10.6	-1	50.96	12.4743	0	0	0.4949	0.4949	0	4.9196	4.9196
FEM_lipids	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	268	16	-1	119.352	21.6968	0	0	0	0	0	0.7855	0.7855
MTBLS4	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	282.832	9	-1	35.056	19.3473	0	0	0.8302	0	0	1.1798	1.1798
Eawag_XBridgeC18	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	283.7	31.7	-1	482.78	19.7323	0	0	0.544	0.4629	0	14.4678	14.4678
FEM_long	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	279.6	28.1	-1	380.52	13.4328	0	0	1.6537	0.303	0	8.4666	8.4666
FEM_orbitrap_plasma	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	279.6	7.9	-1	27.28	12.4288	0	0	1.3093	0.303	0	2.1193	2.1193
MTBLS39	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	283.336	5	-1	10	20.2519	0	0	0.6592	0	0	0	0
IPB_Halle	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	277.952	14	-1	90.368	19.4256	0	0	1.722	0	0	0.857	0.857
MTBLS38	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	281.184	10	-1	45	19.7052	0	0	1.1244	0	0	0	0
FEM_orbitrap_urine	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0	0	276.792	13	-1	77.624	19.5021	0	0	1.5203	0	0	0.5632	0.5632
